id,datetime,route_name,direction,destination,line_name,description
5240392,2026-04-11 09:55:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
5247940,2026-04-11 10:13:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
5280543,2026-04-11 11:19:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
5284509,2026-04-11 11:33:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
5317082,2026-04-11 13:06:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
5355634,2026-04-11 14:26:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
5364519,2026-04-11 14:42:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
5397159,2026-04-11 16:16:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
5438209,2026-04-11 17:34:00+02,60,"",Streatham Station,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
5442590,2026-04-11 17:52:00+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
5464417,2026-04-11 18:47:26+02,60,"",Old Coulsdon / Tudor Rose,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
5813095,2026-04-13 06:20:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
5824840,2026-04-13 07:07:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
5825042,2026-04-13 07:15:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
5852390,2026-04-13 08:11:00+02,194,"",Bell Green / Sainsbury's,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
5856753,2026-04-13 08:24:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
5887401,2026-04-13 09:42:00+02,194,"",West Croydon Bus Station,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
