id,datetime,route_name,direction,destination,line_name,description
2452,2026-03-27 17:45:00+01,60,"",Gedling,60,Nottingham - Gedling
88768,2026-03-28 11:03:00+01,60,"",Nottingham,60,Nottingham - Gedling
95817,2026-03-28 11:35:00+01,60,"",Gedling,60,Nottingham - Gedling
105970,2026-03-28 12:13:00+01,60,"",Nottingham,60,Nottingham - Gedling
112613,2026-03-28 12:45:00+01,60,"",Gedling,60,Nottingham - Gedling
121612,2026-03-28 13:23:00+01,60,"",Nottingham,60,Nottingham - Gedling
135748,2026-03-28 13:55:00+01,60,"",Gedling,60,Nottingham - Gedling
143753,2026-03-28 14:33:00+01,60,"",Nottingham,60,Nottingham - Gedling
153567,2026-03-28 15:05:00+01,60,"",Gedling,60,Nottingham - Gedling
162104,2026-03-28 15:43:00+01,60,"",Nottingham,60,Nottingham - Gedling
171707,2026-03-28 16:15:00+01,60,"",Gedling,60,Nottingham - Gedling
182364,2026-03-28 16:53:00+01,60,"",Nottingham,60,Nottingham - Gedling
196925,2026-03-28 17:25:00+01,60,"",Gedling,60,Nottingham - Gedling
211044,2026-03-28 18:03:00+01,60,"",Nottingham,60,Nottingham - Gedling
224807,2026-03-28 18:35:00+01,60,"",Gedling,60,Nottingham - Gedling
239858,2026-03-28 19:13:00+01,60,"",Nottingham,60,Nottingham - Gedling
248475,2026-03-28 19:45:00+01,60,"",Gedling,60,Nottingham - Gedling
258582,2026-03-28 20:13:00+01,60,"",Nottingham,60,Nottingham - Gedling
265320,2026-03-28 20:45:00+01,60,"",Gedling,60,Nottingham - Gedling
273732,2026-03-28 21:13:00+01,60,"",Nottingham,60,Nottingham - Gedling
279467,2026-03-28 21:45:00+01,60,"",Gedling,60,Nottingham - Gedling
287569,2026-03-28 22:13:00+01,60,"",Nottingham,60,Nottingham - Gedling
292568,2026-03-28 22:45:00+01,60,"",Gedling,60,Nottingham - Gedling
299608,2026-03-28 23:13:00+01,60,"",Nottingham,60,Nottingham - Gedling
304692,2026-03-28 23:45:00+01,60,"",Gedling,60,Nottingham - Gedling
311039,2026-03-29 00:10:00+01,60,"",Nottingham,60,Nottingham - Gedling
590132,2026-03-30 07:14:00+02,60,"",Nottingham,60,Nottingham - Gedling
599922,2026-03-30 07:45:00+02,60,"",Gedling,60,Nottingham - Gedling
613521,2026-03-30 08:11:00+02,60,"",Nottingham,60,Nottingham - Gedling
626314,2026-03-30 08:48:00+02,60,"",Gedling,60,Nottingham - Gedling
641293,2026-03-30 09:21:00+02,60,"",Nottingham,60,Nottingham - Gedling
659182,2026-03-30 09:58:00+02,60,"",Gedling,60,Nottingham - Gedling
676918,2026-03-30 10:33:00+02,60,"",Nottingham,60,Nottingham - Gedling
690475,2026-03-30 11:05:00+02,60,"",Gedling,60,Nottingham - Gedling
706057,2026-03-30 11:43:00+02,60,"",Nottingham,60,Nottingham - Gedling
721053,2026-03-30 12:15:00+02,60,"",Gedling,60,Nottingham - Gedling
736757,2026-03-30 12:53:00+02,60,"",Nottingham,60,Nottingham - Gedling
753998,2026-03-30 13:25:00+02,60,"",Gedling,60,Nottingham - Gedling
771208,2026-03-30 14:03:00+02,60,"",Nottingham,60,Nottingham - Gedling
784170,2026-03-30 14:35:00+02,60,"",Gedling,60,Nottingham - Gedling
798647,2026-03-30 15:13:00+02,60,"",Nottingham,60,Nottingham - Gedling
816212,2026-03-30 15:45:00+02,60,"",Gedling,60,Nottingham - Gedling
832614,2026-03-30 16:21:00+02,60,"",Nottingham,60,Nottingham - Gedling
844062,2026-03-30 16:55:00+02,60,"",Gedling,60,Nottingham - Gedling
858939,2026-03-30 17:33:00+02,60,"",Nottingham,60,Nottingham - Gedling
874259,2026-03-30 18:05:00+02,60,"",Gedling,60,Nottingham - Gedling
888866,2026-03-30 18:43:00+02,60,"",Nottingham,60,Nottingham - Gedling
902325,2026-03-30 19:15:00+02,60,"",Gedling,60,Nottingham - Gedling
914792,2026-03-30 19:43:00+02,60,"",Nottingham,60,Nottingham - Gedling
922812,2026-03-30 20:15:00+02,60,"",Gedling,60,Nottingham - Gedling
932682,2026-03-30 20:43:00+02,60,"",Nottingham,60,Nottingham - Gedling
940114,2026-03-30 21:15:00+02,60,"",Gedling,60,Nottingham - Gedling
947997,2026-03-30 21:43:00+02,60,"",Nottingham,60,Nottingham - Gedling
1016314,2026-03-31 07:14:00+02,60,"",Nottingham,60,Nottingham - Gedling
1022807,2026-03-31 07:45:00+02,60,"",Gedling,60,Nottingham - Gedling
1039193,2026-03-31 08:11:00+02,60,"",Nottingham,60,Nottingham - Gedling
1055245,2026-03-31 08:48:00+02,60,"",Gedling,60,Nottingham - Gedling
1068299,2026-03-31 09:21:00+02,60,"",Nottingham,60,Nottingham - Gedling
1084541,2026-03-31 09:58:00+02,60,"",Gedling,60,Nottingham - Gedling
1101404,2026-03-31 10:33:00+02,60,"",Nottingham,60,Nottingham - Gedling
1118082,2026-03-31 11:05:00+02,60,"",Gedling,60,Nottingham - Gedling
1130517,2026-03-31 11:43:00+02,60,"",Nottingham,60,Nottingham - Gedling
1150049,2026-03-31 12:15:00+02,60,"",Gedling,60,Nottingham - Gedling
1164266,2026-03-31 12:53:00+02,60,"",Nottingham,60,Nottingham - Gedling
1177326,2026-03-31 13:25:00+02,60,"",Gedling,60,Nottingham - Gedling
1191369,2026-03-31 14:03:00+02,60,"",Nottingham,60,Nottingham - Gedling
1207742,2026-03-31 14:35:00+02,60,"",Gedling,60,Nottingham - Gedling
1226237,2026-03-31 15:13:00+02,60,"",Nottingham,60,Nottingham - Gedling
1239418,2026-03-31 15:45:00+02,60,"",Gedling,60,Nottingham - Gedling
1254148,2026-03-31 16:21:00+02,60,"",Nottingham,60,Nottingham - Gedling
1268813,2026-03-31 16:55:00+02,60,"",Gedling,60,Nottingham - Gedling
1285317,2026-03-31 17:33:00+02,60,"",Nottingham,60,Nottingham - Gedling
1298969,2026-03-31 18:05:00+02,60,"",Gedling,60,Nottingham - Gedling
1313856,2026-03-31 18:43:00+02,60,"",Nottingham,60,Nottingham - Gedling
1329017,2026-03-31 19:15:00+02,60,"",Gedling,60,Nottingham - Gedling
1339760,2026-03-31 19:43:00+02,60,"",Nottingham,60,Nottingham - Gedling
1348529,2026-03-31 20:15:00+02,60,"",Gedling,60,Nottingham - Gedling
1359144,2026-03-31 20:43:00+02,60,"",Nottingham,60,Nottingham - Gedling
1365471,2026-03-31 21:15:00+02,60,"",Gedling,60,Nottingham - Gedling
1373042,2026-03-31 21:43:00+02,60,"",Nottingham,60,Nottingham - Gedling
1443276,2026-04-01 07:14:00+02,60,"",Nottingham,60,Nottingham - Gedling
1451359,2026-04-01 07:45:00+02,60,"",Gedling,60,Nottingham - Gedling
1466013,2026-04-01 08:11:00+02,60,"",Nottingham,60,Nottingham - Gedling
1480135,2026-04-01 08:48:00+02,60,"",Gedling,60,Nottingham - Gedling
1498544,2026-04-01 09:21:00+02,60,"",Nottingham,60,Nottingham - Gedling
1510571,2026-04-01 09:58:00+02,60,"",Gedling,60,Nottingham - Gedling
1526139,2026-04-01 10:33:00+02,60,"",Nottingham,60,Nottingham - Gedling
1543171,2026-04-01 11:05:00+02,60,"",Gedling,60,Nottingham - Gedling
1558271,2026-04-01 11:43:00+02,60,"",Nottingham,60,Nottingham - Gedling
1572975,2026-04-01 12:15:00+02,60,"",Gedling,60,Nottingham - Gedling
1587946,2026-04-01 12:53:00+02,60,"",Nottingham,60,Nottingham - Gedling
1603672,2026-04-01 13:25:00+02,60,"",Gedling,60,Nottingham - Gedling
1621692,2026-04-01 14:03:00+02,60,"",Nottingham,60,Nottingham - Gedling
1639658,2026-04-01 14:35:00+02,60,"",Gedling,60,Nottingham - Gedling
1654169,2026-04-01 15:13:00+02,60,"",Nottingham,60,Nottingham - Gedling
1667852,2026-04-01 15:45:00+02,60,"",Gedling,60,Nottingham - Gedling
