id,datetime,route_name,direction,destination,line_name,description
2550,2026-03-27 15:40:00+01,26,"",Nottingham,26,Nottingham - Southwell
639554,2026-03-30 09:14:00+02,89,"",Nottingham,89,Nottingham - Rise Park
657256,2026-03-30 09:52:00+02,89,"",Rise Park,89,Nottingham - Rise Park
670375,2026-03-30 10:27:00+02,89,"",Nottingham,89,Nottingham - Rise Park
688447,2026-03-30 11:02:00+02,89,"",Rise Park,89,Nottingham - Rise Park
702461,2026-03-30 11:37:00+02,89,"",Nottingham,89,Nottingham - Rise Park
719574,2026-03-30 12:12:00+02,89,"",Rise Park,89,Nottingham - Rise Park
732716,2026-03-30 12:47:00+02,89,"",Nottingham,89,Nottingham - Rise Park
750646,2026-03-30 13:22:00+02,89,"",Rise Park,89,Nottingham - Rise Park
764382,2026-03-30 13:57:00+02,89,"",Nottingham,89,Nottingham - Rise Park
781261,2026-03-30 14:32:00+02,89,"",Rise Park,89,Nottingham - Rise Park
795482,2026-03-30 15:07:00+02,89,"",Nottingham,89,Nottingham - Rise Park
812063,2026-03-30 15:42:00+02,89,"",Rise Park,89,Nottingham - Rise Park
827867,2026-03-30 16:17:00+02,89,"",Nottingham,89,Nottingham - Rise Park
842491,2026-03-30 16:52:00+02,89,"",Rise Park,89,Nottingham - Rise Park
859333,2026-03-30 17:27:00+02,89,"",Nottingham,89,Nottingham - Rise Park
873252,2026-03-30 18:02:00+02,89,"",Rise Park,89,Nottingham - Rise Park
887640,2026-03-30 18:37:00+02,89,"",Nottingham,89,Nottingham - Rise Park
900755,2026-03-30 19:15:00+02,89,"",Rise Park,89,Nottingham - Rise Park
915588,2026-03-30 19:59:00+02,89,"",Nottingham,89,Nottingham - Rise Park
928857,2026-03-30 20:30:00+02,89,"",Rise Park,89,Nottingham - Rise Park
936405,2026-03-30 20:59:00+02,89,"",Nottingham,89,Nottingham - Rise Park
943755,2026-03-30 21:30:00+02,89,"",Rise Park,89,Nottingham - Rise Park
951242,2026-03-30 21:59:00+02,89,"",Nottingham,89,Nottingham - Rise Park
957503,2026-03-30 22:30:00+02,89,"",Rise Park,89,Nottingham - Rise Park
964963,2026-03-30 22:59:00+02,89,"",Nottingham,89,Nottingham - Rise Park
971102,2026-03-30 23:30:00+02,89,"",Rise Park,89,Nottingham - Rise Park
976518,2026-03-30 23:59:00+02,89,"",Nottingham,89,Nottingham - Rise Park
981320,2026-03-31 00:30:00+02,89,"",Rise Park,89,Nottingham - Rise Park
