id,datetime,route_name,direction,destination,line_name,description
187311,2026-03-28 16:38:00+01,403,"",West Croydon Bus Station,403,Warlingham - Sanderstead - South Croydon - West Croydon
193173,2026-03-28 17:11:00+01,403,"",West Croydon Bus Station,403,Warlingham - Sanderstead - South Croydon - West Croydon
197753,2026-03-28 17:24:00+01,403,"",Warlingham / Sainsbury's,403,Warlingham - Sanderstead - South Croydon - West Croydon
211817,2026-03-28 18:15:00+01,403,"",West Croydon Bus Station,403,Warlingham - Sanderstead - South Croydon - West Croydon
230882,2026-03-28 18:47:00+01,403,"",West Croydon Bus Station,403,Warlingham - Sanderstead - South Croydon - West Croydon
236097,2026-03-28 19:01:00+01,403,"",Warlingham / Sainsbury's,403,Warlingham - Sanderstead - South Croydon - West Croydon
247625,2026-03-28 19:51:00+01,403,"",West Croydon Bus Station,403,Warlingham - Sanderstead - South Croydon - West Croydon
260793,2026-03-28 20:22:00+01,403,"",Croydon (metrobus),403,Warlingham - Sanderstead - South Croydon - West Croydon
289685,2026-03-28 22:36:00+01,119,"",Bromley North Station,119,"Bromley North & South - Hayes - Shirley - East, Central and South Croydon - Purley Way, Colonnades"
303018,2026-03-28 23:26:00+01,119,"",Bromley North Station,119,"Bromley North & South - Hayes - Shirley - East, Central and South Croydon - Purley Way, Colonnades"
305291,2026-03-28 23:42:00+01,119,"",The Colonnades / Croydon Airport,119,"Bromley North & South - Hayes - Shirley - East, Central and South Croydon - Purley Way, Colonnades"
313594,2026-03-29 00:26:00+01,119,"",The Colonnades / Croydon Airport,119,"Bromley North & South - Hayes - Shirley - East, Central and South Croydon - Purley Way, Colonnades"
313780,2026-03-29 00:39:00+01,119,"",Bromley North Station,119,"Bromley North & South - Hayes - Shirley - East, Central and South Croydon - Purley Way, Colonnades"
321688,2026-03-29 01:24:00+01,119,"",Metrobus Orpington Bus Garage,119,"Bromley North & South - Hayes - Shirley - East, Central and South Croydon - Purley Way, Colonnades"
325395,2026-03-29 03:55:00+02,119,"",The Colonnades / Croydon Airport,119,"Bromley North & South - Hayes - Shirley - East, Central and South Croydon - Purley Way, Colonnades"
324280,2026-03-29 03:59:45+02,119,"",The Colonnades / Croydon Airport,119,"Bromley North & South - Hayes - Shirley - East, Central and South Croydon - Purley Way, Colonnades"
326581,2026-03-29 04:33:00+02,119,"",The Colonnades / Croydon Airport,119,"Bromley North & South - Hayes - Shirley - East, Central and South Croydon - Purley Way, Colonnades"
326614,2026-03-29 04:40:00+02,119,"",Bromley North Station,119,"Bromley North & South - Hayes - Shirley - East, Central and South Croydon - Purley Way, Colonnades"
405253,2026-03-29 13:54:00+02,119,"",The Colonnades / Croydon Airport,119,"Bromley North & South - Hayes - Shirley - East, Central and South Croydon - Purley Way, Colonnades"
408314,2026-03-29 14:09:00+02,119,"",Bromley North Station,119,"Bromley North & South - Hayes - Shirley - East, Central and South Croydon - Purley Way, Colonnades"
426742,2026-03-29 15:19:00+02,119,"",Bromley North Station,119,"Bromley North & South - Hayes - Shirley - East, Central and South Croydon - Purley Way, Colonnades"
430056,2026-03-29 15:32:00+02,119,"",The Colonnades / Croydon Airport,119,"Bromley North & South - Hayes - Shirley - East, Central and South Croydon - Purley Way, Colonnades"
