service_id,operator_id,operator_name,line_name,description
14677,AVLO,Arriva London,102,Edmonton Green -  East Finchley - Muswell Hill - Golders Green - Brent Cross
14678,AVLO,Arriva London,103,Chase Cross - North Street - Romford Market and Station - Becontree Heath - Dagenham East - South Hornchurch - Rainham Interchange
14679,AVLO,Arriva London,121,Enfield Island Village - Southbury - Enfield - Palmers Green - Turnpike Lane Station
14681,AVLO,Arriva London,137,"Streatham Hill, Telford Avenue - Clapham Common - Chelsea Bridge - Knightsbridge - Marble Arch"
14682,AVLO,Arriva London,141,Palmers Green - Wood Green - Manor House - Newington Green - London Bridge
14683,AVLO,Arriva London,149,Edmonton Green - Tottenham - Stoke Newington - Liverpool Street - London Bridge
14684,AVLO,Arriva London,150,Becontree Heath - Ilford - Gants Hill - Barkingside - Chigwell Row
14685,AVLO,Arriva London,158,Chingford Mount - Blackhorse Road - Lea Bridge Road - Leyton - Stratford
14686,AVLO,Arriva London,166,Epsom Hospital  - Banstead - Coulsdon - Purley - West Croydon
14687,AVLO,Arriva London,175,"Hillrise Estate - Collier Row - Romford - Becontree Heath - Dagenham, New Road"
14688,AVLO,Arriva London,19,"Finsbury Park Station - Highbury & Islington - Piccadilly Circus - Sloane Square - Battersea Bridge, South Side"
14689,AVLO,Arriva London,191,Edmonton Green - Ponders End Station - Enfield - Forty Hill - Brimsdown
14690,AVLO,Arriva London,192,Enfield - Bush Hill Park - Edmonton Green - Montagu Road - Meridian Water - Watermead Way - Tottenham Hale
14691,AVLO,Arriva London,194,Lower Sydenham - Clock House - Beckenham - West Wickham - West Croydon
14692,AVLO,Arriva London,196,Elephant & Castle - Vauxhall - Brixton - Herne Hill - Norwood Junction
14693,AVLO,Arriva London,198,"Shrublands - Shirley - Croydon - Croydon University Hospital - Thornton Heath, High Street"
14694,AVLO,Arriva London,2,Marylebone - Marble Arch - Hyde Park Corner - Victoria - Brixton - West Norwood
14695,AVLO,Arriva London,202,"Crystal Palace - Sydenham - Catford - Lee Green - Blackheath, Royal Standard"
14696,AVLO,Arriva London,217,Waltham Cross - Freezywater - Bullsmoor Lane - Great Cambridge Road - Enfield Retail Park - Edmonton Cambridge - Westbury Avenue - Turnpike Lane Station
14697,AVLO,Arriva London,221,Edgware Station - Turnpike Lane Station
14698,AVLO,Arriva London,229,Thamesmead - Belvedere - Barnehurst - Bexleyheath - Queen Mary's Hospital
14699,AVLO,Arriva London,243,Wood Green - Tottenham - Stamford Hill - Stoke Newington - Dalston - Shoreditch - St Lukes - Clerkenwell - Holborn - Waterloo
14700,AVLO,Arriva London,248,Romford Market & Station - Roneo Corner - Hornchurch - Upminster Bridge - Upminster Station - Upminster Park Estate - Cranham
14701,AVLO,Arriva London,249,Clapham Common - Streatham - Upper Norwood - Crystal Palace - Anerley Station
14703,AVLO,Arriva London,250,Brixton - Streatham - Streatham Common - Thornton Heath - West Croydon
14705,AVLO,Arriva London,253,Hackney Central - Stamford Hill - Finsbury Park - Camden Town - Euston
14706,AVLO,Arriva London,254,"Aldgate - Hackney Central - Stamford Hill - Finsbury Park - Holloway, Nags Head"
14707,AVLO,Arriva London,255,Pollards Hill - Norbury - Streatham Common -  Radbourne Road - Balham
14708,AVLO,Arriva London,259,Edmonton Green - Upper Edmonton - Tottenham High Road - Seven Sisters - Manor House - Finsbury Park - Holloway - Caledonian Road - King's Cross
14710,AVLO,Arriva London,279,Waltham Cross - Enfield Highway - Ponders End - Edmonton - Manor House
14711,AVLO,Arriva London,289,Elmers End - West Croydon - Croydon University Hospital - Thornton Heath Pond - Purley
14712,AVLO,Arriva London,29,Wood Green Station - Manor House - Finsbury Park - Camden Town - Trafalgar Square
14713,AVLO,Arriva London,301,"Market Place, Bexleyheath  - Woodland Way, Thamesmead - Abbey Wood Station -  Hawksmoor School - Woolwich Market"
14714,AVLO,Arriva London,307,Brimsdown - Southbury - Enfield Town - New Barnet - Barnet Hospital
14715,AVLO,Arriva London,312,"Purley, Old Lodge Lane - Reedham Station - Croydon Town Centre - East Croydon Station - Norwood Junction"
14716,AVLO,Arriva London,313,Chingford Station - Ponders End -  Enfield - Botany Bay - Potters Bar
14717,AVLO,Arriva London,319,Streatham Hill - Wandsworth Common - Clapham Junction - Battersea - Sloane Square
14718,AVLO,Arriva London,329,Enfield - Winchmore Hill - Palmers Green - Wood Green - Turnpike Lane Station
14719,AVLO,Arriva London,335,Kidbrooke - Blackheath Royal Standard - Westcombe Hill - Westcombe Park Station - Millennium Leisure Park - North Greenwich
14720,AVLO,Arriva London,34,Barnet - Whetstone - Arnos Grove - Upper Edmonton - Walthamstow Central
14721,AVLO,Arriva London,341,"Meridian Water, Glover Drive Superstores - Tottenham - Islington - Aldwych - Waterloo"
14722,AVLO,Arriva London,349,"Ponders End, Bus Garage - Edmonton Green - Upper Edmonton - Tottenham - Stamford Hill"
14723,AVLO,Arriva London,370,Romford Market and Station - Gidea Park - Hornchurch - Upminster - North and South Ockendon - Lakeside
14724,AVLO,Arriva London,375,Romford Station - Collier Row - Chase Cross - Havering-atte-Bower - Passingford Bridge
14725,AVLO,Arriva London,377,Ponders End. Bus Garage - Bush Hill Park - Enfield Town - Enfield Chase - Oakwood
14726,AVLO,Arriva London,38,Clapton Pond - Hackney Central - Essex Road - Holborn - Victoria
14727,AVLO,Arriva London,405,"Redhill - Merstham - Coulsdon - South Croydon - Croydon, Town Centre"
14728,AVLO,Arriva London,41,Archway - Crouch End - Turnpike Lane - Seven Sisters - Tottenham Hale
14729,AVLO,Arriva London,410,Crystal Palace - Norwood Junction - Croydon - Waddon - Wallington
14730,AVLO,Arriva London,412,Purley - Sanderstead - Selsdon - South Croydon - Croydon Town Centre
14731,AVLO,Arriva London,417,Crystal Palace - Leigham Court Road - Streatham Hill Station - Clapham Park - Clapham Common
14732,AVLO,Arriva London,428,Erith - Crayford - Dartford - Darent Valley Hospital - Bluewater
14733,AVLO,Arriva London,432,Brixton - Tulse Hill - West Norwood - Crystal Palace - Anerley Station
14734,AVLO,Arriva London,466,Addington Interchange - Upper Shirley - South Croydon - Purley - Caterham-on-the-Hill
14735,AVLO,Arriva London,468,"South Croydon, South End - Norwood - Herne Hill - Denmark Hill - Elephant & Castle"
14736,AVLO,Arriva London,492,Sidcup Station - Bexleyheath Town Centre - Crayford - Dartford - Bluewater
14737,AVLO,Arriva London,50,Croydon Town Centre - Thornton Heath - Norbury - Streatham Hill - Stockwell
14738,AVLO,Arriva London,59,Clapham Park - Brixton Hill - Brixton - Kennington Park - Lambeth North - Waterloo - Aldwych - Holborn - Bart's Hospital
14739,AVLO,Arriva London,60,Old Coulsdon - Croydon Town Centre - Thornton Heath Pond - Streatham Vale - Streatham Station
14740,AVLO,Arriva London,612,"Selsdon - Riddlesdown - Purley - Woodcote Green - Wallington, County Grammar School"
14741,AVLO,Arriva London,616,Winchmore Hill - Southgate - Palmers Green - Edmonton (Cambridge) - Great Cambridge Road - Edmonton Green
14742,AVLO,Arriva London,627,Worcester Park - North Cheam - Cheam - Sutton - Carshalton - Wallington - Wallington High School
14743,AVLO,Arriva London,64,Thornton Heath Pond - West and East Croydon - Selsdon - Addington Village - New Addington
14744,AVLO,Arriva London,645,Purley - South Croydon - Croydon Town Centre - West Croydon - Waddon Post Office
14745,AVLO,Arriva London,66,Romford Station - Romford Market - North Street - Eastern Avenue - Newbury Park - Gants Hill - Redbridge - Wanstead - Leytonstone
14746,AVLO,Arriva London,663,"Thornton Heath Station - Thornton Road - Waddon -  Newman Road - Purley, Harris Academy"
14747,AVLO,Arriva London,67,Wood Green Station - West Green - Stoke Newington - Dalston Junction
14748,AVLO,Arriva London,675,St James Street Station or Selborne Walk / Vernon Road - Broadmead Road (IG8)
14749,AVLO,Arriva London,685,Warlingham School - Sanderstead - Cranleigh - Ferns - Selsdon
14750,AVLO,Arriva London,689,West Croydon - Addiscombe - Shirley - Peregrine Gardens - Monks Orchard
14751,AVLO,Arriva London,73,Oxford Circus - Tottenham Court Road - King's Cross - Islington - Stoke Newington
14752,AVLO,Arriva London,76,Tottenham Hale - Stoke Newington - Dalston - St Paul's - Waterloo
14753,AVLO,Arriva London,96,Bluewater - Darent Valley Hospital - Dartford - Crayford - Bexleyheath - Welling - Plumstead - Woolwich
14680,AVLO,Arriva London,N137,Crystal Palace - Streatham Hill - Clapham Common - Marble Arch - Oxford Circus
