id,fleet_code,fleet_number,reg,livery_id,slug
3783645,10164,10164,SN63JVM,4140,tflo-sn63jvm
3785993,ADE40305,,YX61FYR,4140,tflo-yx61fyr
3776913,WVN50,,BL61ADV,4140,tflo-bl61adv
3785866,ADH45069,,SN12ASZ,4140,tflo-sn12asz
3778017,37556,37556,YX60DXO,4140,tflo-yx60dxo
3781936,E221,,SN61DEU,4140,tflo-sn61deu
3778505,WVN11,,LK59FEO,4140,tflo-lk59feo
3777558,12269,12269,SN14TWF,4140,tflo-sn14twf
3775925,DLE30026,,LK64CZZ,4140,tflo-lk64czz
3778543,SE106,,YX61BWC,4140,tflo-yx61bwc
3779726,VW1393,,LK62DUU,4140,tflo-lk62duu
3776834,WVL488,,LJ61NWA,4140,tflo-lj61nwa
3783427,10103,10103,LX12DBU,4140,tflo-lx12dbu
3776863,WVL344,,LX59DFD,4140,tflo-lx59dfd
3786588,E209,,SN61DDA,4140,tflo-sn61dda
3776920,WVL339,,LX59DDY,4140,tflo-lx59ddy
3779243,WVL481,,LJ12CHD,4140,tflo-lj12chd
3783601,SDE20281,,YX14RYT,4140,tflo-yx14ryt
3779536,WVN48,,BL61ADU,4140,tflo-bl61adu
3781769,WVN20,,LK59FDN,4140,tflo-lk59fdn
3780544,DEM1352,,LK62DGO,4140,tflo-lk62dgo
3782080,SE112,,YX61BXR,4140,tflo-yx61bxr
3783199,WVL417,,LX11CWZ,4140,tflo-lx11cwz
3783091,12265,12265,SN14TWA,4140,tflo-sn14twa
3783035,E182,,SN61BHV,4140,tflo-sn61bhv
3781049,1484,1484,YX62BHW,4140,tflo-yx62bhw
3777300,T156,,LJ60AVD,4140,tflo-lj60avd
3778590,EH31,,YX13BKD,4140,tflo-yx13bkd
3783583,T265,,LJ61LJL,4140,tflo-lj61ljl
3779102,162,162,YX60FVE,4140,tflo-yx60fve
3776826,WVL454,,LJ61GWP,4140,tflo-lj61gwp
3776827,WVL491,,LJ61NWD,4140,tflo-lj61nwd
3779224,E185,,SN61BHY,4140,tflo-sn61bhy
3780135,VW1386,,LK62DTN,4140,tflo-lk62dtn
3786838,2476,2476,SN64OFA,4140,tflo-sn64ofa
3784065,36554,36554,LX12DKJ,4140,tflo-lx12dkj
3777714,12345,12345,SN64OGU,4140,tflo-sn64ogu
3783845,T300,,KX61LDV,4140,tflo-kx61ldv
3781126,HV59,,LJ62BYT,4140,tflo-lj62byt
3779133,WVL458,,LJ61NUO,4140,tflo-lj61nuo
3782726,SDE20279,,YX14RYP,4140,tflo-yx14ryp
3776829,WVL486,,LJ61NWV,4140,tflo-lj61nwv
3779519,E275,,SN62DMV,4140,tflo-sn62dmv
3776326,2408,2408,SN61DFZ,4140,tflo-sn61dfz
3778810,SE149,,YX61DTU,4140,tflo-yx61dtu
3779367,E235,,YX61DTF,4140,tflo-yx61dtf
3784603,1477,1477,SN12ASO,4140,tflo-sn12aso
3778546,SE109,,YX61BYD,4140,tflo-yx61byd
3783590,VW1388,,LK62DTV,4140,tflo-lk62dtv
3776871,WVL448,,LJ61GWG,4140,tflo-lj61gwg
3783487,DE1164,,LK11CWW,4140,tflo-lk11cww
3779750,TE1423,,LK62DXT,4140,tflo-lk62dxt
3776906,WVN52,,BL61ADX,4140,tflo-bl61adx
3778512,WVN29,,BG59FXF,4140,tflo-bg59fxf
3780654,T326,,LK65ELU,4140,tflo-lk65elu
3784942,ADE40491,,SN13CHC,4140,tflo-sn13chc
3782517,10139,10139,LX12DFU,4140,tflo-lx12dfu
3783249,758,758,YX13AHF,4140,tflo-yx13ahf
3781365,WHV30,,LJ61NVS,4140,tflo-lj61nvs
3779006,SE57,,YX60DXU,4140,tflo-yx60dxu
3779372,E245,,YX61DPZ,4140,tflo-yx61dpz
3788229,DW521,,LJ13CMF,4140,tflo-lj13cmf
3780539,DE1137,,LK10BZD,4140,tflo-lk10bzd
3777524,DW571,,LJ13CKO,4140,tflo-lj13cko
3776170,HV75,,LJ62BWF,4140,tflo-lj62bwf
3780656,T328,,LK65ELW,4140,tflo-lk65elw
3780519,TE1311,,LK12AVU,4140,tflo-lk12avu
3776042,VH45144,,LJ15LAA,4140,tflo-lj15laa
3778103,19778,19778,LX11BFZ,4140,tflo-lx11bfz
3781350,E229,,YX61DSE,4140,tflo-yx61dse
3779132,WVL457,,LJ61NUM,4140,tflo-lj61num
3782048,T179,,LJ60AUF,4140,tflo-lj60auf
3778292,36547,36547,LX12DJV,4140,tflo-lx12djv
3788903,WVL434,,LX11FJO,4140,tflo-lx11fjo
3784749,8254,8254,YY64TXE,4140,tflo-yy64txe
3784503,WVL416,,LX11CWY,4140,tflo-lx11cwy
3781483,T172,,LJ60AUX,4140,tflo-lj60aux
3776482,2471,2471,SN64OEV,4140,tflo-sn64oev
3785335,ADH45077,,SN12AUA,4140,tflo-sn12aua
3783558,19864,19864,LX12CZT,4140,tflo-lx12czt
3787966,10185,10185,SN63NBE,4140,tflo-sn63nbe
3776879,E195,,SN61BJY,4140,tflo-sn61bjy
3776796,E220,,SN61DDZ,4140,tflo-sn61ddz
3776948,1493,1493,YX12FON,4140,tflo-yx12fon
3781305,EH6,,SN61BLJ,4140,tflo-sn61blj
3781351,E242,,YX61DPU,4140,tflo-yx61dpu
3776779,WVN22,,LK59FDP,4140,tflo-lk59fdp
3779681,DE1154,,LK11CWJ,4140,tflo-lk11cwj
3779258,WVL466,,LJ61NVB,4140,tflo-lj61nvb
3783293,19817,19817,LX11BKK,4140,tflo-lx11bkk
