id,created_at,changes,message,from_livery_id,from_operator_id,from_type_id,to_livery_id,to_operator_id,to_type_id,user_id,vehicle_id,approved_at,approved_by_id,pending,disapproved,disapproved_reason
669,2026-04-29 18:45:05.126316+02,"{""fleet number"": ""-\n+WHV27""}",,,TFLO,,,MBGA,102,1,3779257,,,f,f,
64,2026-04-04 21:28:23.981369+02,"{""reg"": ""-\n+HW62CEJ""}",,,,,25,,697,1,17592,,,f,f,
670,2026-04-29 18:45:25.399031+02,"{""fleet number"": ""-\n+WHV31""}",,,TFLO,,,MBGA,102,1,3779488,,,f,f,
137,2026-04-05 01:42:02.137+02,"{""garage"": ""-Southern Vectis\n+Newport""}",,,,,,,,1,17566,,,f,f,
4,2026-03-28 02:42:11.599702+01,"{""reg"": ""-\n+YP63WFA""}",,,,,,,,1,2563,,,f,f,
65,2026-04-04 21:28:53.597367+02,"{""reg"": ""-\n+HW63FHJ"", ""garage"": ""-\n+Newport""}",,,,,25,,697,1,17593,,,f,f,
5,2026-03-29 13:00:17.137365+02,"{""reg"": ""-\n+YT61GPF""}",,,,,1763,,282,1,3783282,,,f,f,
6,2026-03-29 13:09:09.452547+02,"{""reg"": ""-\n+YT61GPJ""}",,,,,1763,,282,1,3783287,,,f,f,
66,2026-04-04 21:29:16.020799+02,"{""reg"": ""-\n+HW63FHN"", ""garage"": ""-Southern Vectis\n+Newport""}",,,,,25,,697,1,17594,,,f,f,
7,2026-03-29 14:10:41.903741+02,"{""garage"": ""-Trent Bridge\n+Parliament Street""}",,,,,,,,1,2372,,,f,f,
8,2026-03-29 14:13:17.492913+02,"{""garage"": ""-Trent Bridge\n+Parliament Street""}",,,,,,,,1,2371,,,f,f,
9,2026-03-29 14:39:16.512799+02,"{""garage"": ""-Parliament Street\n+Trent Bridge""}",,,,,,,,1,2521,,,f,f,
10,2026-03-29 16:58:43.101404+02,"{""garage"": ""-\n+Trent Bridge""}",,,,,,,,1,3783282,,,f,f,
11,2026-03-29 17:04:45.46976+02,{},,,,,,,,1,2521,,,f,f,
12,2026-03-29 17:31:37.539503+02,{},,,,,,,,1,3783282,,,f,f,
13,2026-03-29 22:30:52.746108+02,"{""garage"": ""-\n+Hatfield (HF) - Uno""}",,,,,,,,1,3776949,,,f,f,
14,2026-03-29 22:32:50.0634+02,"{""garage"": ""-\n+Hatfield (HF) - Uno""}",,,,,,,,1,3776949,,,f,f,
15,2026-03-29 22:38:16.276288+02,"{""garage"": ""-\n+Hatfield""}",,,,,,,,1,3776949,,,f,f,
16,2026-03-29 23:22:38.069451+02,{},,4140,,,262,,,1,3776949,,,f,f,
17,2026-03-29 23:35:24.605731+02,{},,4140,,,262,,,1,3776949,,,f,f,
18,2026-03-30 00:12:27.928759+02,"{""garage"": ""-\n+Parliament Street""}",,,,,,,,1,3783417,,,f,f,
19,2026-03-30 08:17:06.041156+02,"{""reg"": ""-\n+YN22BNA"", ""branding"": ""-\n+35/36""}",,,,,1757,,68,1,3783417,,,f,f,
20,2026-03-30 15:48:47.986139+02,"{""reg"": ""-\n+YT61GPU"", ""garage"": ""-\n+Parliament Street""}",,,,,1763,,282,1,3784221,,,f,f,
21,2026-03-30 15:49:17.475958+02,"{""garage"": ""-Trent Bridge\n+Parliament Street""}",,,,,,,,1,3783282,,,f,f,
22,2026-03-30 15:49:36.44027+02,"{""garage"": ""-Trent Bridge\n+Parliament Street""}",,,,,,,,1,3783287,,,f,f,
23,2026-04-04 20:54:23.346556+02,"{""reg"": ""-\n+VDL744"", ""garage"": ""-\n+Newport"", ""previous reg"": ""-\n+HW58ASX""}",,,,,3467,,66,1,17561,,,f,f,
24,2026-04-04 20:56:10.19504+02,"{""reg"": ""-\n+HW26FEH"", ""garage"": ""-\n+Newport"", ""previous reg"": ""-\n+BF25YYT""}",,,,,4081,,649,1,17562,,,f,f,
25,2026-04-04 20:56:49.210141+02,"{""reg"": ""-\n+HW26FEJ"", ""garage"": ""-Southern Vectis\n+Newport"", ""previous reg"": ""-\n+BF25YYU""}",,,,,4081,,649,1,17563,,,f,f,
26,2026-04-04 20:56:56.260035+02,{},,,,,,,,1,17562,,,f,f,
