service_id,operators
150,ELBG
151,ELBG
152,ELBG
153,ELBG
154,ELBG
155,ELBG
156,ELBG
157,ELBG
158,ELBG
159,ELBG
4176,LONC
4189,LONC
4190,BTRI
6390,WNGS
6397,WNGS
8317,FLON
8318,FLON
8319,FLON
8320,ABLO
8321,FLON
8322,FLON
8323,FLON
8324,MTLN
8325,FLON
8326,FLON
8327,MTLN
8328,FLON
8329,FLON
8330,FLON
8331,FLON
8332,ABLO
8333,FLON
8335,MTLN
8336,FLON
8337,FLON
8352,UNOL
8353,MTLN
8354,MTLN
8641,UNOL
8664,UNOL
8772,ABLO
8773,ABLO
8774,ABLO
8775,ABLO
14095,LULD
14096,LULD
14097,LULD
14098,LULD
14099,LULD
14100,LULD
14101,LULD
14102,LULD
14103,LULD
14104,LULD
14105,LULD
14107,NATX
14108,BTRI
14109,BTRI
14110,BTRI
14111,BTRI
14112,BTRI
14113,BTRI
14114,BTRI
14115,BTRI
14116,BTRI
14117,BTRI
14118,BTRI
14119,BTRI
14120,BTRI
14121,BTRI
14122,BTRI
14123,BTRI
14124,BTRI
14125,BTRI
14126,BTRI
14127,BTRI
14128,BTRI
14129,BTRI
14130,BTRI
14131,BTRI
14132,BTRI
14133,BTRI
14134,BTRI
14135,BTRI
14136,BTRI
14137,BTRI
14138,ABLO
14139,ABLO
14140,ABLO
14141,ABLO
14142,ABLO
14143,ABLO
14144,ABLO
14145,ABLO
14146,ABLO
14147,ABLO
14148,ABLO
14149,ABLO
14150,ABLO
14151,ABLO
14152,ABLO
14153,ABLO
14154,ABLO
14155,ABLO
14156,ABLO
14157,ABLO
14158,ABLO
14159,ABLO
14160,LONC
14161,ABLO
14162,ABLO
14163,ABLO
14164,ABLO
14165,ABLO
14166,ABLO
14167,ABLO
14168,ABLO
14169,ABLO
14170,ABLO
14171,ABLO
14172,ABLO
14173,ABLO
14174,ABLO
14175,ABLO
14176,ABLO
14177,ABLO
14178,ABLO
14179,ABLO
14180,ABLO
14181,ABLO
14182,ABLO
14183,ABLO
14184,ABLO
14185,ABLO
14186,ABLO
14187,ABLO
14188,ABLO
14189,ABLO
14190,ABLO
14191,ABLO
14192,ABLO
14193,ABLO
14194,ABLO
14195,ABLO
14196,ABLO
14197,ABLO
14198,ABLO
14199,ABLO
14200,ABLO
14201,ABLO
14202,ABLO
14203,ABLO
14204,ABLO
14205,ABLO
14206,ABLO
14207,LDLR
14208,NTHC
14209,NTHC
14210,NTHC
14211,NTHC
14212,NWFF
14213,LONC
14214,LONC
14215,LONC
14216,LONC
14217,LONC
14218,LONC
14219,LONC
14220,LONC
14221,LONC
14222,LONC
14223,LONC
14224,LONC
14225,LONC
14226,LONC
14227,LONC
14228,LONC
14229,LONC
14230,LONC
14231,LONC
14232,LONC
14233,LONC
14234,LONC
14235,LONC
14236,LONC
14237,LONC
14238,LONC
14239,LONC
14240,LONC
14241,LONC
14242,LONC
14243,LONC
14244,LONC
14245,LONC
14246,LONC
14247,LONC
14248,LONC
14249,LONC
14250,LONC
14251,LONC
14252,LONC
14253,LONC
14254,LONC
14255,LONC
14256,LONC
14257,LONC
14258,LONC
14259,LONC
14260,LONC
14261,LONC
14262,LONC
14263,LONC
14264,LONC
14265,LONC
14266,LONC
14267,LGEN
14268,LGEN
14269,LGEN
14270,LGEN
14271,LGEN
14272,LGEN
14273,LGEN
14274,LGEN
14275,LGEN
14276,LGEN
